word,freq,pct_rank
ablegate,0.591,0.541
ablegates,1.0,0.79
ableism,0.383,0.422
ableisms,1.0,0.79
ableist,0.325,0.375
ableists,1.0,0.79
abler,0.477,0.481
ables,0.325,0.375
ablest,0.339,0.388
ablings,1.0,0.79
ablins,1.0,0.79
abloom,1.0,0.79
abluent,1.0,0.79
abluents,1.0,0.79
ablush,1.0,0.79
abluted,1.0,0.79
ablution,0.325,0.375
ablutionary,1.0,0.79
ablutions,0.358,0.403
ably,0.19,0.21
abmho,1.0,0.79
abmhos,1.0,0.79
abnegate,0.383,0.422
abnegated,0.477,0.481
abnegates,0.591,0.541
abnegating,0.383,0.422
abnegation,0.383,0.422
abnegations,1.0,0.79
abnegator,1.0,0.79
abnegators,1.0,0.79
abnormal,0.124,0.063
abnormalities,0.159,0.146
abnormality,0.165,0.16
abnormally,0.145,0.113
abnormals,0.419,0.446
abnormities,1.0,0.79
abnormity,1.0,0.79
abo,0.209,0.242
aboard,0.128,0.072
abode,0.163,0.155
aboded,1.0,0.79
abodes,0.237,0.282
aboding,1.0,0.79
abohm,1.0,0.79
abohms,1.0,0.79
aboideau,1.0,0.79
aboideaus,1.0,0.79
aboideaux,1.0,0.79
aboil,1.0,0.79
aboiteau,1.0,0.79
aboiteaus,1.0,0.79
aboiteaux,1.0,0.79
abolish,0.113,0.04
abolishable,1.0,0.79
abolished,0.12,0.054
abolisher,0.591,0.541
abolishers,1.0,0.79
abolishes,0.196,0.22
abolishing,0.125,0.065
abolishment,0.158,0.144
abolishments,1.0,0.79
abolition,0.128,0.072
abolitionary,1.0,0.79
abolitionism,0.244,0.291
abolitionisms,1.0,0.79
abolitionist,0.158,0.144
abolitionists,0.167,0.164
abolitions,1.0,0.79
abolla,1.0,0.79
abollae,1.0,0.79
aboma,0.477,0.481
abomas,1.0,0.79
abomasa,1.0,0.79
abomasal,1.0,0.79
abomasi,1.0,0.79
abomasum,0.477,0.481
abomasus,1.0,0.79
abominable,0.146,0.116
abominably,0.229,0.271
abominate,1.0,0.79
abominated,0.477,0.481
abominates,1.0,0.79
abominating,0.591,0.541
abomination,0.119,0.052
abominations,0.15,0.126
abominator,1.0,0.79
abominators,1.0,0.79
aboon,1.0,0.79
aboral,1.0,0.79
aborally,1.0,0.79
aboriginal,0.131,0.079
aboriginally,0.591,0.541
aboriginals,0.151,0.128
aborigine,0.168,0.166
aborigines,0.149,0.123
aborning,0.477,0.481
abort,0.118,0.05
aborted,0.123,0.061
aborter,0.383,0.422
aborters,0.477,0.481
abortifacient,0.226,0.266
abortifacients,0.25,0.298
aborting,0.14,0.101
abortion,0.09,0.008
abortionist,0.179,0.189
abortionists,0.167,0.164
abortions,0.104,0.024
abortive,0.191,0.211
abortively,1.0,0.79
abortiveness,1.0,0.79
abortivenesses,1.0,0.79
aborts,0.184,0.199
abortus,0.477,0.481
abortuses,1.0,0.79
abos,0.261,0.311
abought,1.0,0.79
aboulia,1.0,0.79
aboulias,1.0,0.79
aboulic,1.0,0.79
abound,0.137,0.094
abounded,0.237,0.282
abounding,0.221,0.26
abounds,0.166,0.162
about,0.066,0.0
above,0.083,0.003
aboveboard,0.237,0.282
aboveground,0.187,0.204
aboves,0.419,0.446
abracadabra,0.218,0.255
abracadabras,1.0,0.79
abrachia,1.0,0.79
abrachias,1.0,0.79
abradable,1.0,0.79
abradant,1.0,0.79
abradants,1.0,0.79
abrade,0.383,0.422
abraded,0.419,0.446
abrader,1.0,0.79
abraders,1.0,0.79
abrades,0.419,0.446
abrading,0.339,0.388
abrasion,0.172,0.175
abrasions,0.213,0.248
abrasive,0.138,0.096
abrasively,0.25,0.298
abrasiveness,0.257,0.306
abrasivenesses,1.0,0.79
abrasives,0.313,0.364
abreact,1.0,0.79
abreacted,1.0,0.79
abreacting,1.0,0.79
abreaction,0.477,0.481
abreactions,1.0,0.79
abreacts,1.0,0.79
abreast,0.158,0.144
abri,1.0,0.79
abridge,0.158,0.144
